epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70045,1.32198,3.65957,1.57341,0.00276,0.78704,0.18193,0.12975,1.0449,3.29864,1.37085,0.00012861,0.00012861,0.00012861
2,11.7519,1.23946,3.18256,1.42404,0.00301,0.84259,0.31433,0.194,0.9674,3.0089,1.24961,0.00025807,0.00025807,0.00025807
3,16.3818,1.16616,2.64174,1.33605,0.00323,0.88889,0.35528,0.24807,0.91603,2.88417,1.17576,0.000373383,0.000373383,0.000373383
4,21.1386,1.14509,2.37716,1.32733,0.44902,0.47177,0.47218,0.3237,0.93747,2.82165,1.18658,0.000474549,0.000474549,0.000474549
5,26.0007,1.1385,2.19703,1.29166,0.94549,0.09259,0.46247,0.27184,1.05875,2.83944,1.27916,0.000561568,0.000561568,0.000561568
6,30.8951,1.11576,2.16832,1.28861,0.81526,0.17688,0.50649,0.32795,1.14843,2.76966,1.38421,0.00063444,0.00063444,0.00063444
7,35.7785,1.05458,1.93119,1.23596,0.54011,0.37772,0.52092,0.31615,1.11225,2.43936,1.33119,0.000693165,0.000693165,0.000693165
8,40.9232,1.1331,2.045,1.33174,0.59217,0.4544,0.49496,0.32604,1.18221,2.5122,1.40872,0.000737743,0.000737743,0.000737743
9,45.953,1.07254,1.96083,1.26511,0.50494,0.54538,0.54924,0.38079,1.12329,2.23002,1.32626,0.000768173,0.000768173,0.000768173
10,51.0617,1.1194,1.90902,1.30286,0.61435,0.41667,0.51172,0.35428,1.12843,2.31301,1.34882,0.000784457,0.000784457,0.000784457
11,56.1125,1.03841,2.16104,1.21617,0.56613,0.35129,0.40076,0.23478,1.34625,2.71864,1.57517,0.000721645,0.000721645,0.000721645
12,61.0481,1.00416,2.17681,1.21709,0.53081,0.39791,0.38203,0.22591,1.43392,2.53109,1.55527,0.000650909,0.000650909,0.000650909
13,65.8497,0.98539,2.00668,1.12757,0.60316,0.48723,0.53886,0.30775,1.25933,2.16096,1.41955,0.000580174,0.000580174,0.000580174
14,71.0561,1.05285,2.00976,1.22237,0.65826,0.62037,0.70843,0.41322,1.29847,1.86888,1.43059,0.000509438,0.000509438,0.000509438
15,76.0604,0.89901,1.91333,1.10423,0.72933,0.76178,0.8326,0.56319,1.1216,1.66098,1.27068,0.000438703,0.000438703,0.000438703
16,81.172,0.87652,1.77218,1.11384,0.82335,0.70506,0.79125,0.5495,1.02997,1.53906,1.22169,0.000367967,0.000367967,0.000367967
17,86.2205,0.84076,1.63833,1.09781,0.74904,0.72222,0.77442,0.53578,1.02778,1.56195,1.22133,0.000297232,0.000297232,0.000297232
18,91.3658,0.84484,1.6515,1.09436,0.81743,0.68139,0.7775,0.48998,1.10376,1.56464,1.25929,0.000226497,0.000226497,0.000226497
19,96.4561,0.82292,1.55168,1.05216,0.74872,0.822,0.81171,0.55949,0.97795,1.41286,1.16637,0.000155761,0.000155761,0.000155761
20,101.742,0.80643,1.52296,1.08467,0.83633,0.80199,0.83264,0.59474,0.92608,1.32713,1.12921,8.50255e-05,8.50255e-05,8.50255e-05
